Lenk+im+Simmental,46.4583499,7.4380948,https://goo.gl/maps/tvs6e9zfWNdqtjme8
Erlenbach+im+Simmental,46.6636692,7.5429635,https://goo.gl/maps/Zy14PP3BNbBh8Rxy8
Bahnhof+Thun,46.7535322,7.6238733,https://goo.gl/maps/bUjJyqzanGjHvx1z5
Burgdorf+Steinhof,47.0526474,7.6140544,https://goo.gl/maps/8uoETqnwAHiZYSb4A
Kirchberg+Alchenfl%C3%BCh,47.0784109,7.5784197,https://goo.gl/maps/hibfZ8kPLnwgZvtEA
Payerne,46.8288491,6.9232257,https://goo.gl/maps/SiedHac1uBNdsP9z7
Kreuzlingen,47.6425136,9.1470159,https://goo.gl/maps/j71QrqaB9twkgMoK8
Gossau+SG,47.4141004,9.2420208,https://goo.gl/maps/rUq5uhXN4WRQR2LNA
Area+di+servizio+autostradale+Coldrerio+Nord-Sud+-+Porta+Ticino+Easy+Stop+SA,46.3295921,8.6672175,https://goo.gl/maps/fn7N9x4ZVpPYieK16
Ristorante+Area+di+servizio+Ambr%C3%AC-Piotta,46.5153676,8.1070387,https://goo.gl/maps/a6XzUwbjVYnfrxFR7
Area+di+servizio+autostradale+San+Gottardo+Sud+-+Stalvedro+Easy+Stop+SA,46.5208845,8.0745597,https://goo.gl/maps/fyuQteguxythucrp7
Area+di+servizio+autostradale+Coldrerio+Sud-Nord+-+Porta+Ticino+Easy+Stop+SA,45.4122792,8.8594436,https://goo.gl/maps/v73Jbh4EYtURsjFn9
Shell,46.181732,8.4410673,https://goo.gl/maps/fGtbSTZTsv2g3ue18
Autogrill,46.7869886,6.5242223,https://goo.gl/maps/aPhETgw93Mdtcz8Y7
Aire+de+repos+La+Tuffi%C3%A8re,46.710348,6.5239851,https://goo.gl/maps/oVME2G2q1FDNHG2j6
Aire+de+repos+Chamoson+%2F+Ardon,46.6993983,6.5239512,https://goo.gl/maps/WEbh1dBv2VUVsJh97
Aire+de+Repos+Crans-pr%C3%A8s-C%C3%A9ligny+(Jura),46.6774982,6.5238833,https://goo.gl/maps/UqCsMMV98bxB2SwT9
Aire+de+repos+Cime+de+l'Est,46.6665477,6.5238494,https://goo.gl/maps/SMCacWyvx6TN22vv6
Aire+De+Repos+Crans-pr%C3%A8s-C%C3%A9ligny+(Lac),46.6446461,6.5237815,https://goo.gl/maps/kNzpszCtTwdCy3Fx6
Aire+de+Repos+Le+Pertit,46.6227435,6.5237136,https://goo.gl/maps/ubfCpgsZivbJaNp8A
Gotthard+Rastst%C3%A4tte+Fahrtrichtung+Nord,46.8230954,7.9659021,https://goo.gl/maps/CKQDxF7dWwLpcd7w9
Rastst%C3%A4tte+Autogrill+Pratteln,48.8017751,5.9470327,https://goo.gl/maps/52aBySFKMiDDCwnG8
Autogrill+Rastst%C3%A4tte+M%C3%BCnsingen+Ost,48.6711579,5.946637,https://goo.gl/maps/wToSr68BB7rbfj3t5
Autobahn-Rastst%C3%A4tte+St.+Margrethen,48.5840363,5.9463726,https://goo.gl/maps/ZbqmiexPuwWgQda28
Viamala+Rastst%C3%A4tte+Thusis+AG,48.5404628,5.9462403,https://goo.gl/maps/AFojHhkg7RSsdnpbA
Rastst%C3%A4tte+Knonaueramt+AG,48.496881,5.9461078,https://goo.gl/maps/HZCqFeHrJaa2xeqt7
Autobahnrastst%C3%A4tte+Gunzgen+Nord,48.4532909,5.9459752,https://goo.gl/maps/PPdkCocwWgs1X5a6A
